epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1150.35,1.51975,0.91632,1.73412,0.92038,0.84358,0.92379,0.53601,1.41743,0.75541,1.80451,0.0008714,0.0008714,0.0008714
59,1169.43,1.48917,0.93212,1.73372,0.93769,0.8407,0.91375,0.53166,1.43309,0.75679,1.79987,0.0008516,0.0008516,0.0008516
60,1190.3,1.48367,0.88672,1.72403,0.95106,0.86854,0.94562,0.52733,1.46885,0.73608,1.83788,0.0008318,0.0008318,0.0008318
61,1209.5,1.45125,0.85853,1.73243,0.92954,0.7933,0.89178,0.50807,1.49803,0.76716,1.92817,0.000812,0.000812,0.000812
62,1228.87,1.49497,0.89695,1.73306,0.94267,0.85475,0.92817,0.53538,1.41355,0.71332,1.81539,0.0007922,0.0007922,0.0007922
63,1249.49,1.45155,0.87534,1.70101,0.95563,0.84223,0.92899,0.54184,1.40607,0.74038,1.79395,0.0007724,0.0007724,0.0007724
64,1268.74,1.43466,0.841,1.7116,0.93857,0.87151,0.93014,0.51934,1.47494,0.75271,1.83763,0.0007526,0.0007526,0.0007526
65,1287.78,1.50962,0.86864,1.72391,0.94789,0.82123,0.92409,0.51253,1.45708,0.76762,1.84158,0.0007328,0.0007328,0.0007328
66,1307.95,1.4806,0.88858,1.72801,0.90615,0.86305,0.92202,0.54275,1.40889,0.74276,1.79047,0.000713,0.000713,0.000713
67,1326.76,1.46558,0.87298,1.70959,0.92545,0.8322,0.92161,0.53139,1.40159,0.74468,1.78999,0.0006932,0.0006932,0.0006932
68,1345.9,1.46066,0.84766,1.68064,0.89916,0.88827,0.94796,0.5542,1.35887,0.72002,1.75805,0.0006734,0.0006734,0.0006734
69,1366.48,1.46752,0.84796,1.72926,0.96828,0.85267,0.93426,0.56121,1.38658,0.72172,1.78092,0.0006536,0.0006536,0.0006536
70,1385.48,1.44974,0.82512,1.70443,0.9163,0.85626,0.92687,0.5621,1.37922,0.7113,1.78418,0.0006338,0.0006338,0.0006338
71,1404.59,1.43798,0.83655,1.68958,0.9268,0.88268,0.94449,0.57373,1.35364,0.69471,1.737,0.000614,0.000614,0.000614
72,1425.41,1.40655,0.8176,1.65757,0.95571,0.84376,0.93735,0.58054,1.33411,0.67493,1.73042,0.0005942,0.0005942,0.0005942
73,1445.11,1.42087,0.80137,1.70321,0.92743,0.85674,0.92914,0.56654,1.36281,0.68083,1.75292,0.0005744,0.0005744,0.0005744
74,1465.23,1.39977,0.79105,1.64795,0.97659,0.84916,0.95534,0.58187,1.35786,0.66101,1.75263,0.0005546,0.0005546,0.0005546
75,1485.22,1.42672,0.8072,1.67551,0.94313,0.88268,0.94959,0.58533,1.31696,0.68197,1.75306,0.0005348,0.0005348,0.0005348
76,1504.6,1.40727,0.79241,1.65954,0.94626,0.88525,0.94408,0.57569,1.33503,0.67033,1.74277,0.000515,0.000515,0.000515
77,1525.92,1.37588,0.78218,1.64192,0.9294,0.88256,0.94535,0.59486,1.30499,0.65603,1.72265,0.0004952,0.0004952,0.0004952
78,1545.45,1.4039,0.7875,1.66121,0.97435,0.84903,0.94591,0.55312,1.37562,0.66106,1.73063,0.0004754,0.0004754,0.0004754
79,1565.08,1.41818,0.81715,1.66607,0.94087,0.87709,0.94263,0.58234,1.33499,0.65843,1.75031,0.0004556,0.0004556,0.0004556
80,1585.95,1.37829,0.78084,1.67001,0.94573,0.87616,0.94674,0.5769,1.28724,0.65815,1.72582,0.0004358,0.0004358,0.0004358
81,1605.05,1.39,0.78961,1.64312,0.94168,0.90207,0.94824,0.58713,1.2897,0.6422,1.71328,0.000416,0.000416,0.000416
82,1624.45,1.36877,0.76706,1.64431,0.95205,0.88743,0.94751,0.58891,1.31746,0.65313,1.71881,0.0003962,0.0003962,0.0003962
83,1644.51,1.37239,0.7758,1.6201,0.95933,0.88268,0.95525,0.59548,1.26315,0.65274,1.69114,0.0003764,0.0003764,0.0003764
84,1663.78,1.38083,0.76863,1.64753,0.94175,0.88827,0.95541,0.60039,1.2902,0.63289,1.67256,0.0003566,0.0003566,0.0003566
85,1683.72,1.34725,0.7748,1.60486,0.92092,0.9162,0.95471,0.59489,1.29402,0.6473,1.69814,0.0003368,0.0003368,0.0003368
86,1703.92,1.34629,0.75084,1.61227,0.96813,0.87151,0.94477,0.59294,1.27517,0.61955,1.69379,0.000317,0.000317,0.000317
